TRAT	        REP	 Y
1_AC64x	        1	 17,03
1_AC64x	        2	 13,04
1_AC64x	        3	 14,83
1_AC64x	        4	 17,89
2_AC64y	        1	 13,78
2_AC64y	        2	 14,49
2_AC64y	        3	 11,83
2_AC64y	        4	 12,65
3_AC94x	        1	 6,32
3_AC94x	        2	 4,47
3_AC94x	        3	 3,16
3_AC94x	        4	 6,32
4_AC94y	        1	 3,16
4_AC94y	        2	 7,75
4_AC94y	        3	 4,47
4_AC94y	        4	 3,16
5_T	         1	     16,12
5_T	         2	     16,12
5_T	         3	     15,49
5_T	         4	     18,71
